,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,ODs%,ODm%,ODf%,EF,TOX_F15s,TOX_F15f
11,DLGUE1272,DLGUE1272-070822,LAGUNA DE COYUCA 2,COSTERO (HUMEDAL),2022-08-01 00:00:00,2022,10.0,1500.0,74.1,56.8,34.8,10.0,1.0,1.0
16,DLNAY1826W1,DLNAY1826W1-021022,LAGUNA AGUA GRANDE DESEMBOCADURA (ESTERO TEACAPAN DESEMBOCADURA),COSTERO (HUMEDAL),2022-09-29 00:00:00,2022,40.2,63.0,83.4,72.7,65.0,10.0,1.0,1.0
19,DLNAY1885,DLNAY1885-250922,RIO SAN PEDRO 12,COSTERO (HUMEDAL),2022-09-27 00:00:00,2022,34.4,393.0,78.7,66.9,56.7,10.0,1.0,1.0
23,DLNAY1945,DLNAY1945-021022,LAGUNA AGUA BRAVA 4,COSTERO (HUMEDAL),2022-09-28 00:00:00,2022,40.0,295.0,74.4,65.5,57.2,10.0,1.0,1.0
27,DLNAY1950,DLNAY1950-021022,CANAL DE CUAUTLA,COSTERO (HUMEDAL),2022-09-29 00:00:00,2022,22.3,279.0,85.4,78.6,65.1,10.0,1.0,1.0
28,DLNAY1951W1,DLNAY1951W1-021022,DESEMBOCADURA LAGUNA AGUA BRAVA,COSTERO (HUMEDAL),2022-09-29 00:00:00,2022,21.0,52.0,94.7,71.2,55.1,10.0,1.0,1.0
31,DLNAY1967,DLNAY1967-021022,"EMBARCADERO ""OTATITOS""",COSTERO (HUMEDAL),2022-09-29 00:00:00,2022,10.0,448.0,83.3,73.6,61.6,10.0,1.0,1.0
93,OCPBC4275,OCPBC4275-250922,TIJUANA III,COSTERO,2022-09-13 00:00:00,2022,11.1,10.0,113.6,113.2,112.6,10.0,1.0,1.0
97,OCPBC4300,OCPBC4300-231022,"PLAYA ENSENADASEG 4, 2",COSTERO,2022-10-20 00:00:00,2022,18.2,10.0,112.8,100.9,82.9,10.0,1.0,1.0
98,OCPNO4471,OCPNO4471-310722,ENSENADA PABELLONES 3,COSTERO (HUMEDAL),2022-07-27 00:00:00,2022,16.9,52.0,105.8,103.6,102.2,10.0,1.0,1.0
99,OCPNO4472,OCPNO4472-310722,BAHIA DE ALTATA SALIDA,COSTERO,2022-07-27 00:00:00,2022,14.4,249.0,106.7,105.5,104.8,10.0,1.0,1.0
122,SC-11,SC-11-091022,PM SITIO 2 REF 3,COSTERO Y SEDIMENTOS,2022-10-11 00:00:00,2022,10.9,6488.0,91.0,23.7,20.1,63.0,1.0,1.0
126,SC-11,SC-11-310722,PM SITIO 2 REF 3,COSTERO Y SEDIMENTOS,2022-07-25 00:00:00,2022,10.0,24196.0,115.0,53.4,10.0,83.0,1.0,1.0
154,DLBAJ197,DLBAJ197-180922,BAHIA MAGDALENA 1,COSTERO,2022-09-12 00:00:00,2022,52.9,10.0,90.8,90.0,90.6,10.0,1.0,1.0
156,DLBAJ170,DLBAJ170-250922,LAGUNA SAN IGNACIO,COSTERO (HUMEDAL),2022-09-20 00:00:00,2022,11.1,10.0,100.2,95.3,95.3,10.0,1.0,1.0
157,DLBAJ195,DLBAJ195-180922,BAHIA MAGDALENA (PUERTO ADOLFO LOPEZ MATEOS),COSTERO,2022-09-12 00:00:00,2022,61.2,24196.0,75.5,76.4,79.2,108.0,1.0,1.0
158,DLBAJ57,DLBAJ57-091022,BAHIA DE LA PAZ PUERTO PILCHILINGUE,COSTERO (HUMEDAL),2022-10-04 00:00:00,2022,14.6,31.0,102.7,101.8,101.1,10.0,1.0,1.0
160,DLBAJ205,DLBAJ205-180922,BOCANA LOPEZ MATEOS,COSTERO,2022-09-12 00:00:00,2022,33.2,1664.0,96.8,94.4,97.6,10.0,1.0,1.0
161,DLBAJ96,DLBAJ96-021022,BAHIA SAN JOSE DEL CABO,COSTERO,2022-09-26 00:00:00,2022,29.5,10.0,112.4,108.7,106.1,10.0,1.0,1.0
162,DLBAJ99,DLBAJ99-021022,BAHIA SAN JOSE DEL CABO1,COSTERO,2022-09-26 00:00:00,2022,16.1,10.0,110.2,107.2,108.9,10.0,1.0,1.0
163,DLBAJ180,DLBAJ180-180922,LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),COSTERO (HUMEDAL),2022-09-14 00:00:00,2022,12.2,10.0,111.0,109.9,107.2,10.0,1.0,1.0
